,,,,,,,,,Features,,,,,,,,,,
10,Baya Weaver,Ploceus philippinus,Ploceidae,Weaverbird,Least Concern (LC),Schedule-IV,Resident (with local movements),বাবুই (Babui),15–17 cm,"The Baya Weaver is a small, sparrow-sized bird famous for its intricately woven hanging nests. It has a stout conical bill and a preference for colonies near water bodies, grasslands, and agricultural fields. During breeding, males develop bright yellow plumage on the crown and breast, contrasting with brown upperparts and streaked underparts. Outside the breeding season, both sexes appear dull brown and resemble sparrows. Their nests, suspended from palm fronds or thorny trees, are masterpieces of weaving, with a long vertical entrance tube.","Breeding males show bright yellow crown, breast, and darker mask with strong contrast against brown wings and streaked underparts.","Females and non-breeding males are dull brown, streaked, and sparrow-like, lacking the bright yellow crown.","A series of harsh “chee-chee” notes and chattering calls, often heard around colonies.","Widely distributed across South and Southeast Asia, including India, Nepal, Bangladesh, Sri Lanka, Myanmar, Thailand, and Cambodia. Common in farmlands, grasslands, wetlands, and villages.",—,"P. p. philippinus, P. p. burmanicus, P. p. travancoreensis, P. p. sinhalensis","House Sparrow (Passer domesticus), Streaked Weaver (Ploceus manyar)",,
11,Bengal Bushlark,Mirafra assamica,Alaudidae,Lark,Least Concern (LC),Schedule-IV,Resident,ভরত ,15–16 cm,"The Bengal Bushlark is a small, inconspicuous bird with streaked brown upperparts, pale underparts with fine streaking, and a short tail. It has a heavy bill and rounded wings, adapted for short flights. Often seen on the ground or low shrubs, it blends well with dry grasslands and scrub habitats. During breeding, males perform aerial song flights, rising and fluttering while delivering melodious notes.",Males are similar in plumage but perform distinctive display flights and may show slightly richer tones.,"Females resemble males, with no marked differences in plumage.","Rich, varied warbling song delivered during aerial displays; also produces short chirps and whistles.","Found across the Indian subcontinent, including India, Bangladesh, Nepal, and Sri Lanka. Common in dry grasslands, scrublands, farmlands, and open countryside.",—,"M. a. assamica, M. a. marionae, M. a. jerdoni","Jerdon’s Bushlark (Mirafra jerdoni), Indian Bushlark (Mirafra erythroptera)",,
12,Black Bittern,Ixobrychus flavicollis,Ardeidae,Bittern,Least Concern (LC),Schedule-IV,Resident (with local movements),কালো বক (Kalo Bok),60–65 cm,"The Black Bittern is a medium-sized heron-like bird with dark, sooty-black plumage and a long neck. It has a distinctive golden-yellow throat and sides of the neck, contrasting with its otherwise dusky appearance. The bill is long and pointed, adapted for spearing fish and aquatic prey. It is secretive, often concealed in dense reed beds or mangroves, and flies with rapid wingbeats when flushed.","Males are similar to females, both showing dark plumage with golden throat markings.",Females resemble males; no marked sexual dimorphism. Juveniles are browner with streaked plumage.,"Harsh croaking and booming calls, usually heard at dusk or night.","Found across South and Southeast Asia, including India, Bangladesh, Sri Lanka, Nepal, Myanmar, Thailand, Cambodia, Indonesia, and the Philippines. Prefers wetlands, marshes, reed beds, and mangroves.",—,No distinct subspecies widely recognized; plumage consistent across range.,"Yellow Bittern (Ixobrychus sinensis), Chestnut Bittern (Ixobrychus cinnamomeus)",,
13,Black Drongo,Dicrurus macrocercus,Dicruridae,Drongo,Least Concern (LC),Schedule-IV,Resident (with local movements),কালো ফিঙে (Kalo Phinge),28–30 cm,"The Black Drongo is a medium-sized, entirely black bird with a distinctive forked tail and glossy plumage. It is fearless and aggressive, often mobbing larger raptors and protecting its territory. Known as the “farmer’s friend,” it feeds on insects and is commonly seen perched on wires, poles, or open branches in agricultural landscapes. Its flight is agile and graceful, with frequent sallies to catch prey mid-air.",Males are glossy jet-black with a deeply forked tail.,Females resemble males but may appear slightly duller; juveniles are brownish-black with less gloss.,"Harsh, metallic “chee-chee” notes and varied whistles; alarm calls are sharp and scolding.","Widely distributed across South Asia, including India, Nepal, Bangladesh, Sri Lanka, Pakistan, and Myanmar. Found in open fields, farmlands, villages, and urban areas.",—,"D. m. macrocercus, D. m. albirictus, D. m. cathoecus, D. m. harterti","Ashy Drongo (Dicrurus leucophaeus), White-bellied Drongo (Dicrurus caerulescens)",,
14,Black-naped Oriole,Oriolus chinensis,Oriolidae,Oriole,Least Concern (LC),Schedule-IV,Migratory (partial),বেনে বউ / হলুদ পাখি,25–28 cm,"The Black-naped Oriole is a strikingly beautiful bird with bright golden-yellow plumage, contrasting black wings edged with yellow, and a distinctive black stripe running from the bill through the eye to the nape. It has a pinkish bill and red eyes, making it highly conspicuous. Agile and arboreal, it is often seen in the canopy of tall trees, feeding on fruits, berries, insects, and nectar. Its melodious fluting calls are a hallmark of summer woodlands.","Males are vivid golden-yellow with a bold black eye-stripe and nape, plus brighter plumage overall.","Females are slightly duller, with more greenish tones on the back and less vivid yellow underparts. Juveniles are streaked and less brightly colored.","Rich, fluty whistles and melodious notes, often repeated in series.","Widely distributed across South and Southeast Asia, including India (northeast and eastern states), Bangladesh, Myanmar, Thailand, Cambodia, Vietnam, and the Philippines. In India, it is a summer visitor to the northeast and migrates locally.",—,"O. c. chinensis, O. c. diffusus, O. c. maculatus, O. c. yamamurae","Eurasian Golden Oriole (Oriolus oriolus), Slender-billed Oriole (Oriolus tenuirostris)",,
15,Black-rumped Flameback,Dinopium benghalense,Picidae,Woodpecker,Least Concern (LC),Schedule-IV,Resident,সুবর্ণ কাঠঠোকরা ,30–34 cm,"The Black-rumped Flameback, also known as the Lesser Golden-backed Woodpecker, is a striking bird with golden-yellow upperparts, a black rump, and bold black-and-white facial markings. It has a long, straight bill adapted for drilling into wood, and a stiff tail that supports it while climbing tree trunks. The species is noisy and conspicuous, often drumming on trees and calling loudly. It inhabits open forests, groves, plantations, and urban areas.","Males have a bright crimson crest, contrasting with golden upperparts and black rump.",Females resemble males but have a black crest streaked with white instead of crimson. Juveniles are duller with streaked plumage.,"Loud, sharp “ki-ki-ki” calls and rapid drumming on wood.","Widely distributed across the Indian subcontinent, including India, Nepal, Bangladesh, Sri Lanka, and Pakistan. Common in open woodlands, farmlands, and urban parks.",—,"D. b. benghalense, D. b. dilutum, D. b. puncticolle, D. b. psarodes","Greater Flameback (Chrysocolaptes guttacristatus), Himalayan Flameback (Dinopium shorii)",,
16,Black-winged Kite,Elanus caeruleus,Accipitridae,Raptor,Least Concern (LC),Schedule-I,Resident (with local movements),কাটুয়া চিল,31–35 cm,"The Black-winged Kite is a small, graceful raptor with pale grey and white plumage, striking red eyes, and bold black patches on the shoulders and wings. It is known for its hovering flight, often seen suspended in the air while scanning for prey. Its diet mainly consists of rodents, small reptiles, and large insects, making it a beneficial bird in agricultural landscapes.","Males are similar to females, both showing pale grey upperparts, white underparts, and black shoulder patches.",Females resemble males; juveniles are buffy with streaked plumage and less distinct wing markings.,"High-pitched whistles and harsh “kree-kree” calls, especially during breeding season.","Widely distributed across Africa, South Asia, and Southeast Asia. In India, it is common in open grasslands, farmlands, scrublands, and semi-arid regions.",—,"E. c. caeruleus, E. c. vociferus, E. c. hypoleucus","White-tailed Kite (Elanus leucurus), Black-shouldered Kite (Elanus axillaris)",,
17,Blue-throated Barbet,Psilopogon asiaticus,Megalaimidae,Barbet,Least Concern (LC),Schedule-IV,Resident,নীলকণ্ঠ  বসন্তবৌরি,20–22 cm,"The Blue-throated Barbet is a brightly colored bird with vivid green plumage, a turquoise-blue throat and face, crimson forehead and crown, and yellowish streaks on the sides of the head. It has a stout bill adapted for fruit-eating and is often heard before being seen, thanks to its loud, repetitive calls. It inhabits wooded areas, orchards, and gardens, feeding mainly on fruits, berries, and insects.",Males are brightly colored with vivid blue throat and crimson crown.,"Females resemble males, with no significant sexual dimorphism. Juveniles are duller, with less distinct coloration.","Loud, repetitive “kutroo-kutroo” or “tuk-tuk” notes, often heard in summer.","Found across the Indian subcontinent and Southeast Asia, including India, Nepal, Bangladesh, Bhutan, Myanmar, Thailand, Laos, Cambodia, and Vietnam. Common in forests, plantations, and urban gardens.",—,"P. a. asiaticus, P. a. laosensis","Coppersmith Barbet (Psilopogon haemacephalus), Great Barbet (Psilopogon virens)",,
18,Bluethroat,Luscinia svecica,Muscicapidae,Thrush-like songbird,Least Concern (LC),Schedule-IV,Migratory,নীলগলা ফিদ্দা,13–14 cm,"The Bluethroat is a small, striking songbird known for its vivid throat patch. It has brown upperparts, a white supercilium, and reddish flanks. The male’s throat is bright blue bordered by black and rust-red, often with a central white or rufous spot depending on subspecies. It is a ground-dwelling bird, often flicking its tail to reveal rufous patches. It breeds in wetlands and scrub across Europe and Asia, migrating to South Asia in winter.","Males are distinguished by their brilliant blue throat bordered with black and chestnut, often with a central spot.","Females lack the vivid blue throat, showing buffy or whitish underparts with faint streaking. Juveniles resemble females.","Rich, varied warbling song with mimicry; sharp “chak” call when alarmed.","Breeds across northern Europe and Asia. Winters in South Asia including India, Bangladesh, Nepal, and Pakistan. Found in reed beds, scrublands, and agricultural fields during migration.",—,"L. s. svecica, L. s. cyanecula, L. s. magna, L. s. namnetum","Red-flanked Bluetail (Tarsiger cyanurus), Siberian Rubythroat (Calliope calliope)",,
19,Barn Swallow,Hirundo rustica,Hirundinidae,Swallow & Martins,Least Concern (LC),Schedule-II,Winter Migratory,আবাবিল,17-19 cm,"Barn Swallow is a small, acrobatic bird with glossy steel-blue upperparts, a rusty-red forehead and throat, and buffy or whitish underparts. Its most distinctive feature is a long, deeply forked tail with elegant, elongated outer tail feathers.","Males have longer, more deeply forked outer tail feathers, also known as tail streamers. Males also display a richer and deeper rusty-orange or cinnamon color on their throat and underparts.  ",Femaleshave shorter tail streamers than males.Females have a paler version of the rusty-orange coloration on their throats and bellies. ,,"Barn Swallows are winter visitors to most of India, including states like West Bengal, Karnataka, Kerala, and Maharashtra, arriving from their breeding grounds in the Himalayas and beyond during the non-breeding season.",,"Hirundo rustica rustica
Hirundo rustica savignii
Hirundo rustica transitiva
Hirundo rustica tytleri
Hirundo rustica gutturalis
Hirundo rustica mandschurica
Hirundo rustica erythrogaster",,,
20,Black Kite,Milvus migrans,Accipitridae,Hawks & Eagles,Least Concern (LC),Schedule-II,Migrant,ভুবন চিল (Bhubon Chil),58-69 cm,"The Black Kite is a medium-sized bird of prey characterized by its dark brown to black plumage, forked tail, and gliding flight style. It has pale yellow legs, a black bill, dark eyes, and can be found on four continents, often near human settlements, water, and open areas where it scavenges and hunts for small mammals, fish, and carrion.  ",Males may be slightly less aggressive than females. ,Females are longer and have a larger wingspan than males. ,,Black Kites are widely distributed across most of India,,"Milvus migrans migrans
Milvus migrans govinda
Milvus migrans affinis
Milvus migrans lineatus
Milvus migrans formosanus
Milvus migrans aegyptius
Milvus migrans parasitus
",,,
21,Black-crowned Night Heron,Nycticorax nycticorax,Ardeidae,Heron,Least Concern (LC),Schedule-II,Generally Resident,নিশি বক (Nishi Bok),58-65 cm,"Black-crowned Night Heron is a stocky, medium-sized wading bird with a distinctive black back and crown, gray wings, and white underparts, bright red eyes, and short greenish-yellow legs that turn pink in the breeding season. Adults have long white plumes that extend from their heads, while immatures are brown with white spots and streaks. These nocturnal birds roost in trees by day and are active at dusk, foraging in various aquatic habitats for fish, insects, and other small animals.  ","Males are typically larger and more robust than females. During breeding season, males may have longer head plumes and a more pronounced blue-green gloss on their black head feathers. ",Fermales are typically smaller,,"The Black-crowned Night Heron,  is found across India.",,"Nycticorax nycticorax nycticorax
Nycticorax nycticorax hoactli
Nycticorax nycticorax obscurus
Nycticorax nycticorax falklandicus",Indian Pond Heron,,
22,Black-headed Ibis,Threskiornis melanocephalus,Threskiornithidae,Ibis,Near Threatened (NT),Schedule-II,Resident,কালোমাথা কাস্তেচরা (kalomatha Kastechara),75 cm,"The Black-headed Ibis is a large, predominantly white wading bird with a black head and neck, a long, down-curved black bill, and grayish tail feathers that become black in the breeding season. During breeding, bare wing patches turn blood-red, and the head may acquire a blueish tinge or a red neck patch. Juveniles are distinguishable by grayish neck feathers and brown-speckled wings.","Both sexes are primarily white, with bare black heads, necks, and legs, and a thick, down-curved black bill. ","Both sexes are primarily white, with bare black heads, necks, and legs, and a thick, down-curved black bill. ",,"The Black-headed Ibis has a widespread resident distribution across most of India, with notable populations and breeding sites recorded in states like Rajasthan, Kerala, Gujarat, Andhra Pradesh, Karnataka, and Tamil Nadu. ",,Monotype,,,
23,Black-hooded Oriole,Oriolus xanthornus,Oriolidae,Oriole,Least Concern (LC),Schedule-II,Resident,বেনে বউ (Benebou) ,25 cm,"Black-hooded Oriole is a striking medium-sized bird primarily known for its vibrant yellow plumage contrasting with a distinct black hood, black flight feathers, and a black tail center. The male is predominantly yellow with a black head, wings, and tail, while the female is a duller greenish color but also possesses the black hood. ","The male Black-hooded Oriole is bright golden-yellow across the body, contrasted sharply by a glossy, solid black hood. Its wings and tail also bear black markings, which enhance the striking contrast between the vivid yellow and deep black, making the male’s plumage highly eye-catching.","The female Black-hooded Oriole has a more subdued appearance, with yellow-green underparts and a duller, less distinct black hood compared to the male. Her overall plumage is muted and drabber, serving an important purpose: the duller colors provide effective camouflage while she is nesting.",,"The Black-hooded Oriole is a widespread resident across most of India, especially in central, eastern, northeastern, and southern regions. It is seen year-round but shows seasonal movements, with winter records expanding into the northern plains and Himalayan foothills.",,"Oriolus xanthornus xanthornus
Oriolus xanthornus maderaspatanus
Oriolus xanthornus reubeni
Oriolus xanthornus ceylonensis
Oriolus xanthornus tanakae",Black-hooded Oriole,,
24,Black-winged Stilt,Himantopus himantopus,Recurvirostridae,Avocet and Stilt,Least Concern (LC),Schedule-II,Local Migratory,কালোপাখ ঠেঙ্গি (Kalopakh Thengi),33-36 cm,"Black-winged Stilt is a distinctive, black-and-white wading bird, notable for its extremely long, bright pink legs and thin, straight black bill. It has a white neck and underparts, contrasting with its glossy black wings",Black back with a prominent greenish sheen or gloss.,Back has a brownish hue that contrasts with the black feathers on the wings.,,The Black-winged Stilt is widely distributed across India.,,Monotype,,,
25,Blue-throated Flycatcher,Cyornis rubeculoides,Muscicapidae,Flycatcher,Least Concern (LC),Schedule-II,Winter Migratory,নীলটুলি /নীলগলা চুটকি,14 cm,"The Blue-throated Flycatcher (Cyornis rubeculoides) is a small, insectivorous bird from the Indian subcontinent and Southeast Asia, about 15 cm long, known for its sexually dimorphic plumage. Adult males have a vibrant blue head, throat, and upper breast, an orange-buff band on the chest, and a white belly. Females are duller, with olive-brown upperparts, a paler blue or orange-tinged throat, and a white belly. They are found in dense scrub and forest habitats, are agile hunters of flying insects, and possess melodious songs and distinctive calls","The male Blue-throated Flycatcher has bright blue upperparts, with the throat and breast also showing an extensive, vivid blue coloration. This striking contrast is balanced by a clean white belly, giving the male a vibrant and eye-catching appearance.","The female Blue-throated Flycatcher is more subdued, with duller olive-brown upperparts and a paler, less defined orange-cream coloring on the throat and breast. Like the male, she has a white belly, but her tail is often rufous, adding a reddish-brown touch. She also shows a weak eyering, which further helps in distinguishing her from the male.",,"The Blue-throated Flycatcher's distribution in India includes its breeding range in the Himalayan foothills (e.g., Arunachal Pradesh, Assam, and other eastern Himalayan regions) and its non-breeding, or wintering, grounds in southern and central India, particularly the Western Ghats and the entire Indian peninsula where suitable forest habitats are found. ",,"Cyornis rubeculoides rubeculoides
Cyornis rubeculoides rogersi","Taiga Flycatcher
Asian Brown Flycatcher",,
26,Bronze-winged Jacana,Metopidius indicus,Jacanidae,Jacana,Least Concern (LC),Schedule-II,Resident,জল পিপি (Jol Pipi),29 cm,"The Bronze-winged Jacana is a distinctive, medium-sized wader found in South and Southeast Asia, characterized by its incredibly long toes that allow it to walk on floating aquatic vegetation. It has striking black plumage, an iridescent bronze-green back and wings, a chestnut-colored tail, and a prominent white stripe from its eye to its nape. A unique feature is a red, coot-like frontal shield on its bill. ","The male is smaller and lighter than the female. He is responsible for incubating the eggs, building new nests if necessary for safety, and caring for the chicks after they hatch. While females establish the overall territory, males also defend their individual areas within the female’s larger territory, contributing to the protection and success of their offspring.","he female is significantly larger and heavier than the male, weighing between 226–355 g compared to the male’s 147–202 g. She plays a dominant role in the social structure, being more aggressive and responsible for establishing and defending territories that may contain one to four males.",,"The Bronze-winged Jacana is widespread throughout India, inhabiting the lowlands and plateau regions.",,Monotype,,,
27,Brown Shrike,Lanius cristatus,Laniidae,Shrike,Least Concern (LC),Schedule-II,Winter Migratory,কাজল পাখি (Kājal Pākhi),17-19 cm,"The Brown Shrike is a medium-sized, long-tailed bird found mainly in Asia, recognizable by its distinctive black ""bandit-mask"" through the eye, a white eyebrow stripe, and overall brown plumage. It is an opportunistic predator that hunts from exposed perches in open, scrubby habitats, impaling its prey like insects, lizards, and smaller birds on thorns or sharp twigs. While the adult male has a dark brown crown and upperparts with a yellowish-buff underside, females and immature birds are often less contrasted, with greyer crowns and scalloped underparts. ","The male has a prominent and well-defined black facial mask that extends from the beak to the ear-coverts, giving it a sharp, contrasting look. Its crown and upperparts are usually pale grey or dark brown, while the underparts are paler, often yellowish-buff or creamy.","The female has a less distinct mask, usually darker brown rather than solid black. Her crown is more brownish-grey and lacks the contrast seen in males. The underparts may show fine barring or scalloping, giving a more patterned appearance.",,"The Brown Shrike is a common winter migrant to southern, central, and eastern India. While rare in the north and northwest",,"Lanius cristatus cristatus
Lanius cristatus confusus
Lanius cristatus superciliosus
Lanius cristatus lucionensis",,,
28,Cinnamon Bittern,Ixobrychus cinnamomeus,Ardeidae,Bittern,Least Concern (LC),Schedule-IV,Resident (with local movements),খয়েরি বক (Khoyeri Bok),38–40 cm,"The Cinnamon Bittern is a small, secretive heron-like bird with rich cinnamon-brown plumage, a short neck, and a pointed bill. It is often concealed in reed beds and marsh vegetation, where it feeds on fish, frogs, and aquatic insects. In flight, its wings appear contrastingly darker, and its flight is rapid and low over water. It is more often heard than seen, especially at dawn and dusk.","Males are rich cinnamon-brown overall, with darker flight feathers.","Females are similar but slightly duller; juveniles are streaked brown and buff, providing camouflage in reeds.","Harsh croaking and booming calls, often at night.","Found across South and Southeast Asia, including India, Bangladesh, Sri Lanka, Nepal, Myanmar, Thailand, Cambodia, Indonesia, and the Philippines. Prefers wetlands, marshes, rice fields, and reed beds.",—,No widely recognized subspecies; plumage consistent across range.,"Yellow Bittern (Ixobrychus sinensis), Black Bittern (Ixobrychus flavicollis)",,
29,Chestnut-tailed Starling,Sturnia malabarica,Sturnidae,Starling,Least Concern (LC),Schedule-IV,Resident (with local movements),কাঠ শালিক,19–20 cm,"The Chestnut-tailed Starling, also known as the Grey-headed Myna, is a medium-sized starling with pale grey head, whitish underparts, and chestnut-colored tail and rump. It has a yellow bill tipped with black and pale eyes. Highly social, it is often seen in flocks feeding on fruits, nectar, and insects. It is a canopy-dwelling bird, frequently visiting flowering and fruiting trees.","Males have a pale grey head, whitish throat, and chestnut rump and tail, with slightly glossier plumage.",Females are similar but may appear duller and less glossy. Juveniles are browner with streaked plumage.,"Soft whistles, chatters, and melodious notes; often calls in flocks.","Widely distributed across South Asia, including India, Nepal, Bangladesh, Bhutan, and Myanmar. Found in forests, groves, plantations, and urban gardens.",—,"S. m. malabarica, S. m. nemoricola","Asian Pied Starling (Gracupica contra), Jungle Myna (Acridotheres fuscus)",,
